"raw_character_text","spoken_words" 
"Monica:"," Wow, you worked in a mine?
"
"Phoebe:"," I worked in a Dairy Queen, why?
"
"Rachel:"," God, isn't this exciting? I earned this. I wiped tables for it, I steamed milk for it, and it was totally—(opens envelope)—not worth it. Who's FICA? Why's he getting all my money? I mean, what- Chandler, look at that.
"
"Chandler:"," (looking) Oh, this is not that bad.
"
"Joey:"," Oh, you're fine, yeah, for a first job.
"
"Ross:"," You can totally, totally live on this.
"
"Monica:"," Yeah, yeah.
"
"Ross:"," Oh, by the way, great service tonight.
"
"Rachel:"," Oh my God! (Rachel, Leslie, Kiki, and Joanne all scream and hug each other.
"
"Monica:"," (to Phoebe) I swear I've seen birds do this on Wild Kingdom.
"
"Rachel:"," What are you guys doing here?
"
"Rachel:"," (to a pregnant Leslie) Look at you, you are so big I can't believe it!
"
"Rachel:"," (to Joanne) So what's going on with you?
"
"Phoebe:"," (to Monica) Look, look, I have elbows! (They scream.)
"
"Chandler:"," ...Poulet passes it up to Leetch! (Passes it to Joey.)
"
"Joey:"," Leetch spots Messier in the crease- there's the pass! (He kicks it to Ross, but Ross is staring into a shop window.)
"
"Chandler:"," We'll take a brief time out while Messier stops to look at some women's shoes.
"
"Ross:"," Carol was wearing boots just like those the night that we- we first- y'know. Fact, she, uh- she never took'em off, 'cause we-we- (off Chandler's look) Sorry. Sorry.
"
"Joey:"," What?
"
"Ross:"," Peach pit.
"
"Chandler:"," Yes, Bunny?
"
"Ross:"," (points) Peach pit. That night we, uh- we had-
"
"Joey:"," -Peaches?
"
"Ross:"," Actually, nectarines, but basically...
"
"Chandler:"," (to Joey) Could've been a peach.
"
"Ross:"," Then, uh, then we got dressed, and I-I... I walked her to the- (looks up, realises, and points) -the bus stop... I'm fine.
"
"Joey:"," Hey, that woman's got an ass like Carol's! (They turn to stare at him.) What? Thought we were trying to find stuff.
"
"Rachel:"," So c'mon, you guys, tell me all the dirt!
"
"Rachel:"," Okay.
"
"Rachel:"," What? Guys, I'm not.
"
"Rachel:"," I'm not! This is what I'm doing now. I've got this job-
"
"Rachel:"," Okay, I'm not just waitressing. I'm.. I, um... I write the specials on the specials board, and, uh... and I, uh... I take the uh dead flowers out of the vase... Oh, and, um, sometimes Artelle lets me put the little chocolate blobbies on the cookies.
"
"Monica:"," Hey, Rach. How was it with your friends? (She and Phoebe scream.) Okay! How would you like some Tiki Death Punch? (She pours the contents of the blender into some glasses.)
"
"Rachel:"," What's that?
"
"Monica:"," Weeeell, it's rum, and-
"
"Rachel:"," Okay. (Grabs the blender and starts to drink.)
"
"Monica:"," We thought since Phoebe was staying over tonight we'd have kinda like a slumber party thing. We got some trashy magazines, we got cookie dough, we got Twister... (The phone rings and Monica answers it.)
"
"Phoebe:"," Ooh! Ooh! And I brought Operation! But, um, I lost the tweezers, so we can't operate. But we can prep the guy!
"
"Monica:"," Uh, Rach, it's the Visa card people.
"
"Rachel:"," Oh, God, ask them what they want.
"
"Monica:"," (on phone) Could you please tell me what this is in reference to? (Listens) Yes, hold on. (To Rachel) Um, they say there's been some unusual activity on your account.
"
"Rachel:"," But I haven't used my card in weeks!
"
"Monica:"," That is the unusual activity. Look, they just wanna see if you're okay.
"
"Rachel:"," They wanna know if I'm okay. Okay.. they wanna know if I'm okay, okay, let's see. Well, let's see, the FICA guys took all my money, everyone I know is either getting married, or getting promoted, or getting pregnant, and I'm getting coffee! And it's not even for me! So if that sounds like I'm okay, okay, then you can tell them I'm okay, okay?
"
"Monica:"," (pauses then on the phone) Uh- Rachel has left the building, can you call back?
"
"Rachel:"," Alright, c'mon! (Miserably) Let's play Twister!
"
"Ross:"," (squeezing past people) Sorry, sorry... Uh-oh.
"
"Chandler:"," What? There was ice there that night with Carol? Plastic seats? Four thousand angry Pittsburgh fans?
"
"Ross:"," No, actually I was just saying it looks like we're not sitting together. But now you mention it, there was ice there that night... It was the first frost...
"
"Joey:"," C'mon, sit. Just sit down, sit.
"
"Monica:"," You should feel great about yourself! You're doing this amazing independence thing!
"
"Rachel:"," Monica, what is so amazing? I gave up, like, everything. And for what?
"
"Phoebe:"," You are just like Jack.
"
"Rachel:"," ...Jack from downstairs?
"
"Phoebe:"," No, Jack and the Beanstalk.
"
"Monica:"," Ah, the other Jack.
"
"Phoebe:"," Yeah, right! See, he gave up something, but then he got those magic beans. And then he woke up, and there was this, this big plant outside his window, full of possibilities and stuff.. And he lived in a village, and you live in the Village..
"
"Rachel:"," Okay, but Pheebs, Pheebs, Jack gave up a cow, I gave up an orthodontist. Okay, I-I-I know, I know I didn't love him-
"
"Phoebe:"," Oh, see, Jack did love the cow.
"
"Rachel:"," But see, it was a plan. Y'know, it was clear. It was figured out, and now everything's just kinda like...
"
"Phoebe:"," Floopy?
"
"Rachel:"," Yeah.
"
"Monica:"," So what, you're not the only one. I mean, half the time we don't know where we're going. You've just gotta figure at some point it's all gonna come together, and it's just gonna be... un-floopy.
"
"Phoebe:"," Oh, like that's a word.
"
"Rachel:"," Okay, but Monica, what if- what if it doesn't come together?
"
"Monica:"," ...Pheebs?
"
"Phoebe:"," Oh, well... 'cause.... you just... I don't like this question.
"
"Rachel:"," Okay, see, see, you guys, what if we don't get magic beans? I mean, what if all we've got are.. beans?
"
"Ross:"," Get him! GET HIM! Get him! Get- YESSS! Not laughing now, are ya pal!
"
"Chandler:"," (to Ross) See buddy, that's all you need, a bunch of toothless guys hitting each other with sticks.
"
"Ross:"," Pass it! Pass it!
"
"Chandler:"," He's open!
"
"Chandler:"," Hey, look, we're on that TV thing!
"
"Chandler:"," (to the receptionist)'Scuse me.
"
"Chandler:"," Listen, it's kind of an emergency. Well, I guess you know that, or we'd be in the predicament room. (The receptionist glares at him.)
"
"Ross:"," (jumping to his feet) Look, I don't wanna make any trouble, okay, but I'm in a lot of pain here, alright? My face is dented.
"
"Joey:"," Well, how long do you think it'll be?
"
"Ross:"," Hey, this- (she gives him a look and the guys back off) Heyy...
"
"Rachel:"," I'm so sorry, you guys. I didn't mean to bring you down.
"
"Monica:"," No, you were right. I don't have a plan. (There's a knock on the door.)
"
"Rachel:"," Thank God. Food. (She goes to answer the door.)
"
"Monica:"," Phoebe?
"
"Phoebe:"," What?
"
"Monica:"," Do you have a plan?
"
"Phoebe:"," I don't even have a 'pl'.
"
"Rachel:"," (miserably) No, no, that's not what we ordered... We ordered a fat-free crust with extra cheese.
"
"Monica:"," (leaping off of the couch and runs up) Wait! Did you say 'G.Stephanopoulos?'
"
"Monica:"," Wait, was this a-a small mediterranean guy with curiously intelligent good looks?
"
"Monica:"," Was he wearing a stunning blue suit?
"
"Phoebe:"," And-and a power tie?
"
"Monica:"," (staggered) Oh God.
"
"Monica:"," Are you nuts?! We've got George Stephanopoulos' pizza! (Rachel pays him, Monica grabs some binoculars, and runs to the window.)
"
"Rachel:"," Uh, Pheebs? Who's George Snuffalopagus?
"
"Phoebe:"," Big Bird's friend.
"
"Monica:"," I see pizza!
"
"Phoebe:"," Oh, I wanna see! Lemme see! Lemme see! (She runs up and takes the binoculars.)
"
"Rachel:"," Hello? Who are we spying on?
"
"Monica:"," White House adviser? Clinton's campaign guy? The one with the great hair, sexy smile, really cute butt?
"
"Rachel:"," Oh, him, the little guy? Oh, I love him!
"
"Phoebe:"," Ooh, wait.. wait, I see a woman.
"
"Monica:"," Please tell me it's his mother.
"
"Phoebe:"," Definitely not his mother.
"
"Monica:"," Oh, no...
"
"Phoebe:"," Oh, wait, she's walking across the floor.. she's walking.. she's walking.. she's going for the pizza- (Yelling) Hey, that's not for you, bitch! (Phoebe covers her mouth with her hand walks away from the window.)
"
"Chandler:"," Excuse me, look, we've been here for over an hour, and a lot of people less sick than my friend have gone in. I mean, that guy with the toe thing? Who's he sleeping with? (She slides the gladd panel over and Chandler talks through it in a loud voice.) Oh, c'mon Dora, don't be mad... I know we both said some things we didn't mean, but that doesn't mean we still don't love each other. (To the waiting room.) Y'know, I feel like I've lost her.. (She slides the panel back, he turns, and it takes him by surprise.) Ba-!
"
"Monica:"," Light still out?
"
"Rachel:"," Yeah.
"
"Monica:"," Oh. Maybe they're- napping.
"
"Rachel:"," Oh please, they're having sex.
"
"Rachel:"," So, whaddya think George is like?
"
"Monica:"," I think he's shy.
"
"Phoebe:"," Yeah?
"
"Monica:"," Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal.
"
"Ross:"," I remember the moonlight coming through the window- and her face had the most incredible glow.
"
"Chandler:"," Yes, the moon, the glow, the magical feeling, you did this part- Could I get some painkillers over here, please?
"
"Joey:"," He's right, enough, already. What is the big deal about today? So you slept with her for the first time, so what? You slept with her for seven years after that.
"
"Ross:"," Look, it's just a little more complicated...
"
"Chandler:"," Well, what? What? What is it? That she left you? That she likes women? That she left you for another woman that likes women?
"
"Ross:"," Little louder, okay, I think there's a man on the twelfth floor in a coma that didn't quite hear you...
"
"Chandler:"," Then what?
"
"Ross:"," My first time with Carol was... (He mumbles the last part)
"
"Joey:"," What?
"
"Ross:"," It was my first time.
"
"Joey:"," With Carol? (Ross gives him a look.) Oh.
"
"Chandler:"," So in your whole life, you've only been with one—(He gets a look too)—oh.
"
"Joey:"," Whoah, boy, hockey was a big mistake! There was a whole bunch of stuff we could've done tonight!
"
"Monica:"," Okay. Okay, I got one. Do you remember that vegetarian pate that I made that you loved so much?
"
"Phoebe:"," Uh-huh.
"
"Monica:"," Well, unless goose is a vegetable...ha haaaah!
"
"Phoebe:"," Oh! Oh! Oh! Okay, fine, fine. Now I don't feel so bad about sleeping with Jason Hurley.
"
"Monica:"," What?! You slept with Jason?
"
"Phoebe:"," You'd already broken up.
"
"Rachel:"," How long?
"
"Phoebe:"," A couple hours.
"
"Monica:"," Oh, that's nice!
"
"Rachel:"," Okay, okay, okay, I got one! (She sits up and the cushion she was leaning against falls off of the balcony.) Anyway- The valentine Tommy Rollerson left in your locker was really from me.
"
"Monica:"," Excuse me?!
"
"Rachel:"," Hello? Like he was really gonna send you one? (To Phoebe) She was a big girl.
"
"Monica:"," Really. Well, at least 'big girls' don't pee in their pants in seventh grade!
"
"Rachel:"," I was laughing! You made me laugh! (Monica and Rachel start to squabble)
"
"Phoebe:"," There he is! There he is!
"
"Monica:"," Where?
"
"Phoebe:"," Right- where we've been looking all night!
"
"Rachel:"," He is so cute!
"
"Monica:"," Oh, George, baby, drop the towel!
"
"Joey:"," Man. Can you believe he's only had sex with one woman?
"
"Chandler:"," I think it's great. Y'know, it's sweet, it's romantic...
"
"Joey:"," Really?
"
"Chandler:"," No, you kidding? The guy's a freak.. (Ross enters off camera)
"
"Ross:"," Hi. (He is wearing a piece of steel bandaged to his nose.  He tosses some forms onto reception desk.)
"
"Chandler:"," Oh, I thought you were great in Silence of the Lambs. Oh come on, admit it! All things considered, you had fun tonight.
"
"Ross:"," Fun? Where was the fun? Tell me specifically, which part was the fun part? Where's my puck?
"
"Joey:"," Oh, ah- the kid has it.
"
"Ross:"," The kid...? (To the kid) Excuse me, uh, that's, that's my puck.
"
"Chandler:"," You gotta do it, man.
"
"Ross:"," (to the kid) Oh yeah? Well, I'm rubber, you're glue, whatever—(to Chandler)—can't do it. (to the kid) Listen, uh- gimme back my puck.
"
"Ross:"," 'Yes', how about. C'mere. Gimme!
"
"Ross:"," (tries to snatch it from the kid) GIVE ME MY PUCK!! (but it files out of his grasp and knocks out the receptionist)
"
"Ross:"," ...Now that was fun.
"
"Ross:"," (Doing the spinning) Okay, Monica: Right foot red.
"
"Monica:"," Could've played Monopoly, but nooooo.
"
"Chandler:"," Thanks. (The guy nods and leaves)
"
"Ross:"," Okay, Pheebs: Right hand blue. (Phoebe has to bend over.)Good. (Joey stares at her butt appreciatively)
"
"Chandler:"," Hello? Oh, uh, Rachel, it's the Visa card people.
"
"Rachel:"," Oh, okay. Will you take my place?
"
"Chandler:"," Alright. (on phone) Yes, this is Rachel.
"
"Rachel:"," Nooo! (She grabs the phone and Chandler takes her place on the mat.) (On phone) Hello? (Listens) Oh, yeah, no, I know, I-I haven't been using it much. (Listens) Oh, well, thanks, but, I'm okay, really.
"
"Ross:"," Green. To the green.
"
"Rachel:"," (on phone) I've got magic beans. (Listens) Never-never mind.
"
"Chandler:"," To the left, to the left- aww! (They all collapse)
"
"Rachel:"," (on phone) Ohhh... I'm fine.
"
"Monica:"," Would you let it go? It's not that big a deal.
"
"Ross:"," Not that big a deal? It's amazing. Ok, you just reach in there, there's one little maneuver, and bam, a bra right out the sleeve. All right, as far as I'm concerned, there is nothing a guy can do that even comes close. Am I right?
"
"Rachel:"," Come on! You guys can pee standing up.
"
"Chandler:"," We can? All right, I'm tryin' that.
"
"Joey:"," Ok, you know what blows my mind? Women can see breasts any time they want. You just look down and there they are. How you get any work done is beyond me.
"
"Phoebe:"," Oh, ok, you know what I don't get? The way guys can do so many mean things, and then not even care.
"
"Ross:"," Multiple orgasms!
"
"Chandler:"," So, Saturday night, the big night, date night, Saturday night, Sat-ur-day night!
"
"Joey:"," No plans, huh?
"
"Chandler:"," Not a one.
"
"Ross:"," Not even, say, breaking up with Janice?
"
"Chandler:"," Oh, right, right, shut up.
"
"Monica:"," Chandler, nobody likes breaking up with someone. You just gotta do it.
"
"Chandler:"," No, I know, but it's just so hard, you know? I mean, you're sitting there with her, she has no idea what's happening, and then you finally get up the courage to do it, and there's the horrible awkward moment when you've handed her the note.
"
"Joey:"," Why do you have to break up with her? Be a man, just stop calling.
"
"Phoebe:"," You know, if you want, I'll do it with you.
"
"Chandler:"," Oh, thanks, but I think she'd feel like we're gangin' up on her.
"
"Phoebe:"," No, I mean you break up with Janice and I'll break up with Tony.
"
"Ross:"," Tony?
"
"Monica:"," Oh, you're breaking up with Tony?
"
"Phoebe:"," Yeah, I know, he's sweet, but it's just not fun anymore, you know? I don't know if it's me, or his hunger strike, or, I don't know.
"
"Rachel:"," (waitressing) Does anybody want anything else?
"
"Ross:"," Oh, yeah, last week you had a wonderful, nutty, chocolatey kind of a cakey pie thing. (Rachel gives him a dirty look) Nothing, just, just, I'm fine.
"
"Phoebe:"," (to Rachel) What's the matter? Why so scrunchy?
"
"Rachel:"," It's my father. He wants to give me a Mercedes convertible.
"
"Ross:"," That guy, he burns me up.
"
"Rachel:"," Yeah, well, it's a Mercedes if I move back home. Oh, it was horrible. He called me young lady.
"
"Chandler:"," Ooh, I hate when my father calls me that.
"
"Monica:"," Did he give you that whole ""You're-not-up-to-this"" thing again?
"
"Rachel:"," Oh, yeah, yeah. Actually, I got the extended disco version, with three choruses of ""You'll never make it on your own"".
"
"Phoebe:"," (rhythmically) Uh-huh, uh-huh.
"
"Joey:"," My god, Angela.
"
"Monica:"," Wow, being dumped by you obviously agrees with her.
"
"Phoebe:"," Are you gonna go over there?
"
"Joey:"," No, yeah, no, ok, but not yet. I don't wanna seem too eager. One Mississippi, two Mississippi, three Mississippi. That seems pretty cool. (he walks over to her) Hey, Angela.
"
"Joey:"," You look good.
"
"Joey:"," You don't say.
"
"Ross:"," So, uh, Rachel, what are you, uh, what're you doing tonight?
"
"Rachel:"," Oh, big glamour night. Me and Monica at Laundorama.
"
"Ross:"," Oh, you uh, you wanna hear a freaky coincidence? Guess who's doing laundry there too?
"
"Rachel:"," Who?
"
"Ross:"," Me. Was that not clear? Hey, why don't, um, why don't I just join you both, here?
"
"Rachel:"," Don't you have a laundry room in your building?
"
"Ross:"," Yes, I do have a laundry room in my building, um, but there's a.... rat problem. Apparently they're attracted to the dryer sheets, and they're goin' in fine, but they're comin' out all.... fluffy. Anyway, say, sevenish?
"
"Rachel:"," Sure.
"
"Joey:"," Bob? Who the hell's Bob?
"
"Joey:"," Come on, we were great together. And not just at the fun stuff, but like, talking too.
"
"Joey:"," What?
"
"Joey:"," Fine, fine, so, why don't the four of us go out and have dinner together tonight? You know, as friends?
"
"Joey:"," You know, you and Bob, and me and my girlfriend, uh, uh, Monica.
"
"Joey:"," Monica, I'm tellin' you, this guy is perfect for you.
"
"Monica:"," Forget it. Not after your cousin who could belch the alphabet.
"
"Joey:"," Come on. This guy's great. His name's Bob. He's Angela's... brother. He's smart, he's sophisticated, and he has a real job. Me, I go on three auditions a month and call myself an actor, but Bob is...
"
"Monica:"," (looking out window) Oh, god help us.
"
"Joey:"," What?
"
"Monica:"," Ugly Naked Guy's laying kitchen tile. Eww!
"
"Joey:"," Eww! Look, I'm asking a favor here. If I do this for her brother, maybe Angela will come back to me.
"
"Monica:"," What's going on here? You go out with tons of girls.
"
"Joey:"," (proud) I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?
"
"Ross:"," (on phone) Ok, bye. (hangs up) Well, Monica's not coming, it's just gonna be me and Rachel.
"
"Chandler:"," Oh. Well, hold on camper, are you sure you've thought this thing through?
"
"Ross:"," It's laundry. The thinking through is minimal.
"
"Chandler:"," It's just you and Rachel, just the two of you? This is a date. You're going on a date.
"
"Ross:"," Nuh-uh.
"
"Chandler:"," Yuh-huh.
"
"Ross:"," So what're you saying here? I should shave again, pick up some wine, what?
"
"Chandler:"," Well, you may wanna rethink the dirty underwear. This is basically the first time she's gonna see your underwear—you want it to be dirty?
"
"Ross:"," (sheepish) No.
"
"Chandler:"," Oh, and uh, the fabric softener?
"
"Ross:"," Ok, ok, now what is wrong with my Snuggles? What, it says I'm a sensitive, warm kinda guy, you know, like a warm, fuzzy bear. Ok, I can pick something else up on the way.
"
"Chandler:"," There you go.
"
"Monica:"," Thank you. So what does this Bob guy look like? Is he tall? Short?
"
"Joey:"," Yep.
"
"Monica:"," Which?
"
"Joey:"," Which what?
"
"Monica:"," You've never met Bob, have you?
"
"Joey:"," No, but he's...
"
"Monica:"," Oh my god, Joey, for all we know this guy could be horribly...
"
"Monica:"," ...horribly attractive. I'll be shutting up now.
"
"Chandler:"," Where are they? Where are they?
"
"Phoebe:"," This is nice. We never do anything just the two of us.
"
"Chandler:"," It's great. Maybe tomorrow we can rent a car and run over some puppies.
"
"Phoebe:"," Eww, I don't wanna do that.
"
"Chandler:"," Here we go.
"
"Phoebe:"," Ok, have a good break-up.
"
"Chandler:"," Hey, Janice.
"
"Chandler:"," Hey, that's not good. Can I get an espresso and a latte over here, please?
"
"Chandler:"," What?
"
"Chandler:"," (covering) What... did you get me there?
"
"Chandler:"," Bullwinkle socks. That's so sweet.
"
"Chandler:"," That's great.
"
"Chandler:"," Well, I'm gonna get another espresso. Can I get you another latte?
"
"Chandler:"," That's it?
"
"Phoebe:"," Yeah, it was really hard.
"
"Chandler:"," Oh, yeah, that hug looked pretty brutal.
"
"Phoebe:"," Ok, you weren't there.
"
"Rachel:"," Oh, 'scuse me. I was kinda using that machine.
"
"Rachel:"," But I saved it. I put my basket on top.
"
"Rachel:"," What?
"
"Ross:"," What's goin' on?
"
"Rachel:"," Hi, uh, nothing. That horrible woman just took my machine.
"
"Ross:"," Was your basket on top?
"
"Rachel:"," Yeah, but, there were no suds.
"
"Ross:"," So?
"
"Rachel:"," Well, you know, no suds, no save.
"
"Ross:"," No suds? Excuse me, hold on a second. (to woman) That's my friend's machine.
"
"Ross:"," Hey, hey, hey, that's not the rule and you know it.
"
"Ross:"," (to the crowd in the laundromat) All right, show's over. Nothing to see here. (to Rachel) Ok, let's do laundry.
"
"Rachel:"," That was amazing. I can't even send back soup.
"
"Ross:"," Well, that's because you're such a sweet, gentle, uh...Do you, uh, do you...Oh, hey, uh you must need detergent.
"
"Rachel:"," What's that?
"
"Ross:"," Uberveiss. It's new, it's German, it's extra-tough.
"
"Ross:"," Rach, do you uh, are you gonna separate those?
"
"Rachel:"," Oh god. Oh, am I being like a total laundry spaz? I mean, am I supposed to use like one machine for shirts and another machine for pants?
"
"Ross:"," Rach, have you never done this before?
"
"Rachel:"," Well, not myself, but I know other people that have. Ok, you caught me. I'm a laundry virgin.
"
"Ross:"," Uh, well, don't worry, I'll use the gentle cycle. Ok, um, basically you wanna use one machine for all your whites, a whole nother machine for colors, and a third for your uh, your uh, delicates, and that would be your bras and your under-panty things.
"
"Rachel:"," (holds a pair of panties in front of Ross) Ok, Well, what about these are white cotton panties. Would they go with whites or delicates?
"
"Ross:"," (visibly nervous) Uh, that, that, that would be a judgment call.
"
"Monica:"," (to Joey) He is so cute. (to Angela and Bob) So, where did you guys grow up?
"
"Monica:"," How, how did that happen?
"
"Joey:"," Oh my god.
"
"Monica:"," What?
"
"Joey:"," I suddenly had the feeling that I was falling. But I'm not.
"
"Joey:"," So, you and Angela, huh?
"
"Joey:"," You're a lucky man. You know what I miss the most about her? That cute nibbly noise when she eats. Like a happy little squirrel, or a weasel.
"
"Joey:"," Oh, yeah, yeah, listen for it.
"
"Joey:"," Yeah, but it's not gonna last. She's too much for me in bed. Sexually.
"
"Monica:"," I've gotta tell you, Bob is terrific.
"
"Monica:"," It is so great to meet a guy who is smart and funny, and has an emotional age beyond, like eight.
"
"Monica:"," Wow. My brother never even told me when he lost his virginity.
"
"Phoebe:"," Ok, you can do this. It's just like pulling off a Band-aid. Just do it really fast, and then the wound is exposed.
"
"Chandler:"," Janice. Hi, Janice. Ok, here we go. I don't think we should go out anymore. Janice.
"
"Rachel:"," Ok, I know this is gonna sound really stupid, but I feel that if I can do this, you know, if I can actually do my own laundry, there isn't anything I can't do.
"
"Ross:"," That does not sound stupid to me. You know, it's like the first time I had to make dinner for myself, after Carol left me? (the buzzer on the washer goes off) I'm sorry, that's all the time we have. Next on Ross...(opens up the washer) Uh-oh.
"
"Rachel:"," What uh-oh?
"
"Ross:"," (not wanting to tell her) Uh-oh, uh-oh, the laundry's done. It's, uh, it's a song. The laundry song that we sing. (singing) Uh-oh the laundry's done, uh-oh, uh-oh.
"
"Rachel:"," Ross, what's the matter?
"
"Ross:"," Nothing, nothing. Lee-lo, the laundry's done.
"
"Rachel:"," Come on, show me.
"
"Ross:"," All right, all right, it's just that you left a red sock in with all your whites, and now, everything's kinda pink.
"
"Rachel:"," Oh, everything's pink.
"
"Ross:"," Yeah, uh, except for the red sock, which is still red. I'm sorry, please don't be upset, it could happen to anyone.
"
"Rachel:"," Except it didn't. It happened to me. Oh, god, I'm gonna look like a big marshmallow peep. What am I doing? What am I doing? My father's right. I can't live on my own! I can't even do laundry!
"
"Monica:"," Something went wrong with Underdog, and they couldn't get his head to inflate. So anyway, um, his head is like flopping down Broadway, right, and I'm just thinking... how inappropriate this is. Um, I've got something in my eye, uh, Joey, could we check it in the light, please?
"
"Monica:"," Oh my god.
"
"Joey:"," What?
"
"Monica:"," Hello! Were we at the same table? It's like... cocktails in Appalachia.
"
"Joey:"," Come on, they're close.
"
"Monica:"," Close? She's got her tongue in his ear.
"
"Joey:"," Oh, like you've never gotten a little rambunctious with Ross.
"
"Monica:"," Joey, this is sick, it's disgusting, it's, it's—not really true, is it?
"
"Joey:"," Well, who's to say what's true? I mean...
"
"Monica:"," Oh my god, what were you thinking?
"
"Joey:"," All right, look, I'm not proud of this, ok? Well, maybe I am a little.
"
"Monica:"," (hits him lightly) Oh!
"
"Joey:"," Ow!
"
"Monica:"," (leaving) I'm outta here.
"
"Joey:"," Wait, wait, wait. You want him, I want her. He likes you.
"
"Monica:"," Really?
"
"Joey:"," Yeah. I'm thinking, if we put our heads together, between the two of us, we can break them up.
"
"Monica:"," I'm so sorry, I can't believe I did this, but I couldn't stop laughing at your Norman Mailer story.
"
"Joey:"," Uh, waiter, one more plate of chicken wings over here.
"
"Chandler:"," Here's the thing, Janice. You know, I mean, it's like we're different. I'm like the bing, bing, bing. You're like the boom, boom, (Chandler flails his hand out and hits Janice in the eye)... boom.
"
"Chandler:"," Oh, my god, I'm so sorry. Are you ok?
"
"Chandler:"," (to Phoebe) I hit her in the eye! I hit her in the eye! This is the worst break-up in the history of the world.
"
"Phoebe:"," Oh my god. (Chandler downs another espresso.) How many of those have you had?
"
"Chandler:"," Oh, I don't know, a million?
"
"Phoebe:"," Chandler, easy, easy. Go to your happy place. La la la la la la la.
"
"Chandler:"," I'm fine.
"
"Phoebe:"," All right.
"
"Chandler:"," I'm not fine. Here she comes.
"
"Phoebe:"," Wait here. Breathe.
"
"Chandler:"," How do you do that?
"
"Phoebe:"," It's like a gift.
"
"Chandler:"," We should always always break up together.
"
"Phoebe:"," Oh, I'd like that.
"
"Ross:"," You got the clothes clean. Now that's the important part.
"
"Rachel:"," Oh, I guess. Except everything looks like jammies now.
"
"Rachel:"," Whoa, I'm sorry. Excuse me. We had this cart.
"
"Rachel:"," I'm sorry, you know, maybe I wasn't being clear. Uh, this is our cart.
"
"Rachel:"," Hey, hey, hey, hey, quit making up rules!
"
"Rachel:"," All right, listen, missy. If you want this cart, you're gonna have to take me with it!
"
"Rachel:"," (to Ross) Yes! Did you see that?
"
"Ross:"," You were incredible! Brand new woman, ladies and gentlemen.
"
"Rachel:"," I could not have done this without you.
"
"Ross:"," Ok, um, uh, more clothes in the dryer? (Ross turns and bangs his head on an open dryer door.) I'm fine, I'm fine.
"
"Rachel:"," Are you sure?
"
"Ross:"," No.
"
"Rachel:"," Oh, are you sure you're ok?
"
"Ross:"," Yeah.
"
"Rachel:"," Does it still hurt?
"
"Ross:"," Yeah.
"
"Phoebe:"," (seeing Rachel's clothes) What a neat idea. All your clothes match. I'm gonna do this.
"
"Monica:"," Hi.
"
"Phoebe:"," Hey, how'd it go?
"
"Joey:"," Excellent.
"
"Monica:"," We ripped that couple apart, and kept the pieces for ourselves.
"
"Ross:"," What a beautiful story. Hey, I'm fine by the way.
"
"Monica:"," (notices his head) Oh, I'm sorry.
"
"Rachel:"," Where's Chandler?
"
"Phoebe:"," Oh, he needed some time to grieve.
"
"Chandler:"," I'm free! I'm free!
"
"Phoebe:"," That oughta do it.
"
"Rachel:"," (reading the program) Ooh! Look! Look! Look! Look, there's Joey's picture! This is so exciting!
"
"Chandler:"," You can always spot someone who's never seen one of his plays before. Notice, no fear, no sense of impending doom...
"
"Phoebe:"," The exclamation point in the title scares me. (Gesturing) Y'know, it's not just Freud, it's Freud!
"
"Ross:"," Oh, shhh, shh. Magic is about to happen.
"
"Joey:"," Vell, Eva, ve've done some excellent vork here, and I vould have to say, your pwoblem is qviiite clear. (He goes into a song and dance number.)
"
"Rachel:"," God. I feel violated.
"
"Monica:"," Did anybody else feel they just wanted to peel the skin off their body, to have something else to do?
"
"Chandler:"," (staring at a woman across the room) Ross, ten o'clock.
"
"Ross:"," Is it? Feels like two.
"
"Chandler:"," No, ten o'clock.
"
"Ross:"," What?
"
"Chandler:"," (sighs and gestures to explain) There's a beautiful woman at eight, nine, ten o'clock!
"
"Ross:"," Oh. Hel-lo!
"
"Chandler:"," She's amazing! She makes the women that I dream about look like short, fat, bald men!
"
"Monica:"," Well, go over to her! She's not with anyone.
"
"Chandler:"," Oh yeah, and what would my opening line be? 'Excuse me. Blarrglarrghh.'
"
"Rachel:"," Oh, c'mon. She's a person, you can do it!
"
"Chandler:"," Oh please, could she be more out of my league? Ross, back me up here.
"
"Ross:"," He could never get a woman like that in a million years.
"
"Chandler:"," Thank you, buddy.
"
"Phoebe:"," Oh, oh, but y'know, you always see these really beautiful women with these really nothing guys, you could be one of those guys.
"
"Monica:"," You could do that!
"
"Chandler:"," Y'think?
"
"Chandler:"," Oh God, I can't believe I'm even considering this... I'm very very aware of my tongue...
"
"Ross:"," C'mon! C'mon!
"
"Chandler:"," Here goes. (He walks over to her but just stands there.)
"
"Chandler:"," Hi.... um... okay, next word... would be... Chandler! Chandler is my name, and, uh...(He clears his throat noisily)...hi.
"
"Chandler:"," Yes, yes I did, but what I didn't say was what I was about to say, what I wanted to say was, uh... would you like to go out with me sometime, thankyou, goodnight. (He walks back to the others but she calls him back.)
"
"Joey:"," Whadja think?
"
"Joey:"," C'mon, you guys, it wasn't that bad. It was better than that thing I did with the trolls, at least you got to see my head.
"
